Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
Unassigned Location (From Diamond Princess),531.6554999999998,2094.5699999999997,648.0,0.0,0.0
"Unassigned Location, VT",44.3378,-72.7563,1.0,0.0,0.0
"Unassigned Location, WA",191.0044,-482.9604,20.0,0.0,0.0
United States Virgin Islands,73.3716,-259.6586,13.0,0.0,0.0
"Unknown Location, MA",84.8144,-142.7648,2.0,0.0,0.0
Utah,78977.12826784002,-220558.09453430036,1445905.0,0.0,12462.0
Vermont,81476.20399041082,-134110.22261932015,115359.0,0.0,5676.0
Virgin Islands,2346.9823999999994,-8306.726400000016,10512.0,0.0,543.0
"Virgin Islands, U.S.",36.6716,-129.7926,2.0,0.0,0.0
Virginia,618375.54596904,-1292214.273596903,4440933.0,0.0,129761.0
"Volusia County, FL",58.056,-162.151,2.0,0.0,0.0
"Wake County, NC",250.6224,-549.9627,7.0,0.0,0.0
Washington,232786.61724230275,-594976.3852399999,2683478.0,8.0,118614.0
"Washington County, OR",318.82899999999995,-861.9702,27.0,0.0,0.0
"Washington, D.C.",77.8144,-154.0738,4.0,0.0,0.0
"Washoe County, NV",162.2432,-478.414,6.0,0.0,0.0
"Wayne County, PA",166.6956,-300.9916,4.0,0.0,0.0
West Virginia,248891.19037675473,-516766.41661506845,236775.0,0.0,7261.0
"Westchester County, NY",287.85400000000004,-516.5643,286.0,0.0,0.0
"Williamson County, TN",179.58950000000002,-434.31100000000004,5.0,0.0,0.0
Wisconsin,386332.045635694,-781787.2419459434,2057556.0,8.0,59371.0
Wuhan Evacuee,0.0,0.0,4.0,0.0,0.0
Wyoming,123544.14854197184,-307557.6508099041,110557.0,0.0,1439.0
"Yolo County, CA",155.0584,-487.6072,4.0,0.0,0.0
